buurtcode,reachable_buurten_10min,avg_bike_minutes_to_reachable,avg_bike_distance_to_reachable,bikeshed_total_amenities,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities
BU09831210,37,6.249729729729731,1837.3705405405408,288.0,168.0,120.0
BU09842201,1,0.0,0.0,8.0,3.0,5.0
BU09950420,45,6.184222222222223,1690.5084444444449,216.0,172.0,44.0
BU09951029,1,0.0,0.0,3.0,3.0,0.0
BU16802101,3,3.8366666666666664,1154.1666666666667,11.0,8.0,3.0
BU17141101,2,3.3,989.65,9.0,5.0,4.0
BU17240405,19,5.266842105263158,1509.6652631578952,76.0,57.0,19.0
BU17830606,20,6.593999999999999,1592.5355,179.0,116.0,63.0
BU18590319,12,5.4075,1624.2525000000003,75.0,50.0,25.0
BU18950909,4,4.355,1155.445,14.0,9.0,5.0
BU18951009,2,1.83,548.86,5.0,5.0,0.0
BU19010216,21,6.164761904761905,1678.7552380952377,114.0,79.0,35.0
BU19010220,24,4.39875,1279.4445833333336,126.0,86.0,40.0
BU19300401,50,6.1888,1791.1794,316.0,235.0,81.0
BU19420102,44,5.207727272727273,1530.995,294.0,202.0,92.0
BU19450301,11,6.757272727272727,1945.2045454545457,93.0,59.0,34.0
BU19491802,7,4.99,1465.1385714285716,33.0,27.0,6.0
BU19492000,6,5.341666666666666,1568.8166666666666,27.0,24.0,3.0
BU19630899,2,1.815,460.02,21.0,15.0,6.0
BU19630950,3,5.6000000000000005,1257.8133333333333,27.0,16.0,11.0
BU19691609,3,4.396666666666667,1318.9333333333334,20.0,16.0,4.0
BU19691702,1,0.0,0.0,3.0,3.0,0.0
BU19780504,5,4.938,1366.176,19.0,16.0,3.0
BU19781704,10,5.706,1708.568,49.0,32.0,17.0
BU19910115,20,5.759,1686.2570000000003,172.0,102.0,70.0
BU19922108,7,5.858571428571429,1603.2557142857145,59.0,37.0,22.0
BU00340101,38,4.735526315789474,1355.6534210526313,149.0,112.0,37.0
BU00340201,40,5.125,1340.591,157.0,117.0,40.0
BU00344904,48,6.112708333333333,1799.89125,242.0,184.0,58.0
BU00345002,47,5.988297872340427,1745.5702127659579,230.0,179.0,51.0
BU00808201,4,4.875,1447.7875,18.0,14.0,4.0
BU01190101,25,5.483199999999998,1608.4344000000003,160.0,108.0,52.0
BU01500306,26,6.338846153846153,1863.6961538461537,270.0,164.0,106.0
BU01660302,12,6.891666666666668,2064.7591666666667,123.0,80.0,43.0
BU02001002,3,3.6733333333333333,1105.3933333333334,25.0,18.0,7.0
BU02035533,12,2.9000000000000004,828.6916666666667,64.0,45.0,19.0
BU02090383,10,5.563,1653.387,60.0,37.0,23.0
BU02220203,27,6.988148148148148,1833.714444444445,208.0,138.0,70.0
BU02320010,4,6.9225,1490.7925,41.0,24.0,17.0
BU02990700,4,5.612500000000001,1681.33,27.0,21.0,6.0
BU03071101,40,6.901250000000002,1968.564249999999,338.0,202.0,136.0
BU03440322,22,6.9,1871.195,285.0,156.0,129.0
BU03561800,10,6.941000000000001,2047.2340000000004,81.0,50.0,31.0
BU03611001,3,5.390000000000001,1595.8366666666668,13.0,10.0,3.0
BU0363NP02,36,6.452500000000002,1881.1800000000003,373.0,207.0,166.0
BU0363TE01,47,6.202553191489361,1651.5000000000002,352.0,232.0,120.0
BU03750501,35,6.353714285714285,1835.5434285714286,244.0,165.0,79.0
BU03830511,2,1.0,304.16,22.0,13.0,9.0
BU03922004,33,5.782424242424243,1516.0084848484853,217.0,158.0,59.0
BU03970002,30,6.294,1833.0453333333328,283.0,187.0,96.0
BU04200805,11,4.865454545454546,1410.6327272727274,50.0,39.0,11.0
BU05900106,22,5.943636363636363,1676.5372727272725,131.0,94.0,37.0
BU06260008,11,5.512727272727273,1458.2436363636364,92.0,63.0,29.0
BU06770102,9,4.22111111111111,1176.1888888888889,69.0,49.0,20.0
BU07850405,42,7.425476190476192,2180.371428571429,238.0,160.0,78.0
BU07850709,38,5.8081578947368415,1683.9323684210524,199.0,139.0,60.0
BU08260606,15,5.736,1630.8813333333333,105.0,80.0,25.0
BU08280600,31,6.42967741935484,1784.468064516129,217.0,142.0,75.0
BU0363FM01,72,6.60375,1903.532222222222,881.0,436.0,445.0
BU0363FM02,81,6.937283950617282,2004.5599999999995,1012.0,496.0,516.0
BU05020551,53,6.334905660377361,1808.6201886792458,298.0,227.0,71.0
BU05031601,31,7.290322580645161,2088.50064516129,248.0,138.0,110.0
BU05031604,30,6.708333333333332,1956.8833333333334,248.0,133.0,115.0
BU05130102,41,6.2073170731707314,1806.8760975609755,352.0,239.0,113.0
BU05130103,37,6.010810810810811,1717.9843243243242,329.0,214.0,115.0
BU05183130,36,7.083611111111109,1957.5855555555552,620.0,347.0,273.0
BU02250602,3,1.97,594.8566666666667,0.0,0.0,0.0
BU08556615,24,6.645416666666665,1936.6645833333334,113.0,81.0,32.0
BU08790409,2,1.355,346.81,28.0,14.0,14.0
BU08800003,10,5.688,1561.2310000000002,78.0,44.0,34.0
BU09172201,24,6.220416666666666,1817.8266666666666,184.0,113.0,71.0
BU09173103,31,6.112903225806452,1725.107741935484,244.0,164.0,80.0
BU15250103,22,5.321818181818181,1498.0990909090908,122.0,90.0,32.0
BU16760100,2,2.24,610.92,27.0,12.0,15.0
BU16760209,2,1.005,301.25,9.0,6.0,3.0
BU16900000,2,0.545,163.17,26.0,16.0,10.0
BU17111146,3,2.9066666666666663,755.5833333333334,17.0,10.0,7.0
BU17350600,13,3.433076923076923,1003.0630769230769,88.0,49.0,39.0
BU17730113,5,3.218,883.4100000000001,41.0,26.0,15.0
BU17730115,1,0.0,0.0,2.0,2.0,0.0
BU18830701,6,5.613333333333333,1658.745,63.0,34.0,29.0
BU18920310,7,6.077142857142857,1775.1942857142858,27.0,23.0,4.0
BU18960012,9,4.712222222222222,1354.8200000000002,51.0,37.0,14.0
BU19010210,24,5.108750000000001,1427.7254166666664,126.0,86.0,40.0
BU19111590,4,6.2125,1147.69,19.0,13.0,6.0
BU19111790,5,4.378,1307.608,20.0,16.0,4.0
BU19300105,57,6.013859649122807,1714.9535087719296,336.0,248.0,88.0
BU19310000,10,4.471,1036.194,63.0,41.0,22.0
BU19311004,5,5.922,1428.624,31.0,22.0,9.0
BU19450505,8,6.2787500000000005,1674.47375,68.0,42.0,26.0
BU19492601,7,4.978571428571428,1447.2528571428572,32.0,26.0,6.0
BU19492604,6,3.641666666666667,1035.2066666666667,28.0,23.0,5.0
BU19521501,4,4.4925,1341.405,33.0,24.0,9.0
BU19521503,3,3.7566666666666664,1134.2033333333334,26.0,17.0,9.0
BU19521604,4,6.09,1820.7925,8.0,8.0,0.0
BU19660805,6,3.53,1017.5933333333334,52.0,31.0,21.0
BU19661001,2,2.905,870.42,9.0,8.0,1.0
BU19821703,3,1.8166666666666667,544.8833333333333,22.0,15.0,7.0
BU00140506,13,7.886153846153846,2209.791538461538,58.0,43.0,15.0
BU00340604,39,5.206666666666667,1434.13641025641,159.0,116.0,43.0
BU00470001,9,5.262222222222222,1542.4755555555557,100.0,63.0,37.0
BU00470200,8,6.43375,1937.76125,94.0,59.0,35.0
BU00851106,19,3.606315789473684,1030.4942105263158,101.0,75.0,26.0
BU00851115,19,4.87578947368421,1400.5431578947364,101.0,75.0,26.0
BU01060308,43,6.213255813953489,1783.9802325581397,236.0,169.0,67.0
BU01140104,4,5.0575,1512.8249999999998,23.0,18.0,5.0
BU01480104,10,4.485,1226.7130000000002,59.0,42.0,17.0
BU01480105,10,4.745,1360.0670000000002,59.0,42.0,17.0
BU01480106,9,5.021111111111111,1391.4555555555553,52.0,38.0,14.0
BU01501102,1,0.0,0.0,3.0,2.0,1.0
BU01600407,1,0.0,0.0,4.0,4.0,0.0
BU02020320,35,6.461714285714285,1756.0285714285717,346.0,185.0,161.0
BU02220703,23,5.9195652173913045,1625.623043478261,116.0,93.0,23.0
BU02220707,26,6.001538461538461,1717.0003846153845,141.0,104.0,37.0
BU02440108,8,6.489999999999999,1451.26125,62.0,37.0,25.0
BU02810305,11,7.057272727272727,2087.490909090909,72.0,52.0,20.0
BU02960702,6,5.385000000000001,1483.993333333333,29.0,18.0,11.0
BU03030609,9,4.482222222222223,1285.9922222222222,39.0,31.0,8.0
BU03072104,43,6.503953488372092,1680.0462790697675,257.0,194.0,63.0
BU03441024,7,6.234285714285714,1781.0257142857142,94.0,60.0,34.0
BU0363MF01,70,6.263000000000001,1801.9659999999992,828.0,395.0,433.0
BU0363NB01,17,6.534117647058824,1858.0988235294117,137.0,83.0,54.0
BU0363NQ10,6,7.538333333333334,1929.1616666666666,34.0,23.0,11.0
BU03921306,48,5.781458333333333,1688.867708333334,409.0,255.0,154.0
BU03940883,4,5.734999999999999,1679.9125000000001,19.0,11.0,8.0
BU03990401,17,6.045882352941176,1750.789411764706,105.0,72.0,33.0
BU04150303,15,6.02,1521.1660000000002,109.0,75.0,34.0
BU04201610,4,6.237500000000001,1883.4524999999999,23.0,16.0,7.0
BU04390401,18,6.588333333333334,1862.0933333333332,186.0,128.0,58.0
BU04411601,16,5.968125000000001,1676.5643750000002,92.0,72.0,20.0
BU04411691,15,6.936000000000001,2051.25,80.0,63.0,17.0
BU04844503,3,4.593333333333334,1005.7933333333334,13.0,10.0,3.0
BU05032407,71,6.429014084507043,1855.377183098592,526.0,337.0,189.0
BU05051103,40,6.6315,1923.27275,237.0,167.0,70.0
BU05370306,31,7.0512903225806465,1876.7545161290325,264.0,181.0,83.0
BU05460408,37,6.467027027027027,1786.4189189189185,329.0,197.0,132.0
BU05560301,19,5.458947368421053,1599.2610526315789,164.0,93.0,71.0
BU07180207,33,6.397575757575758,1863.3057575757573,199.0,136.0,63.0
BU07550007,4,5.904999999999999,1357.0975,36.0,21.0,15.0
BU07550009,4,4.0375,1213.0149999999999,33.0,20.0,13.0
BU07960798,2,4.51,894.87,8.0,4.0,4.0
BU06270105,18,5.887777777777779,1712.0794444444446,155.0,101.0,54.0
BU06420514,59,6.574406779661021,1655.4844067796612,255.0,187.0,68.0
BU08551702,82,6.595487804878049,1885.115853658537,605.0,346.0,259.0
BU01830909,2,0.205,60.17,0.0,0.0,0.0
BU08470601,13,6.021538461538461,1756.5676923076921,0.0,0.0,0.0
BU08470701,4,5.5600000000000005,1666.6975,0.0,0.0,0.0
BU08556710,7,7.042857142857143,1996.7914285714287,57.0,31.0,26.0
BU09460501,2,2.675,796.24,13.0,8.0,5.0
BU09570002,13,6.973076923076923,1800.000769230769,141.0,79.0,62.0
BU09940006,12,5.690833333333333,1669.7908333333332,73.0,41.0,32.0
BU09940100,11,6.1090909090909085,1592.7063636363637,73.0,40.0,33.0
BU09940102,12,5.420833333333334,1620.7758333333334,83.0,44.0,39.0
BU09940103,3,5.789999999999999,943.3366666666667,13.0,9.0,4.0
BU09940104,11,7.035454545454544,2027.0090909090907,66.0,37.0,29.0
BU09950635,33,6.621818181818181,1745.734242424243,170.0,132.0,38.0
BU15980706,17,3.272352941176471,978.6458823529412,64.0,49.0,15.0
BU16212731,34,6.414411764705883,1764.215882352941,185.0,148.0,37.0
BU16212843,14,7.410714285714285,2181.9585714285718,62.0,51.0,11.0
BU16550109,4,5.2075,1515.8049999999998,36.0,20.0,16.0
BU16550302,10,6.257,1818.42,69.0,52.0,17.0
BU16800100,2,3.625,1089.345,13.0,7.0,6.0
BU16800400,2,2.095,414.805,6.0,4.0,2.0
BU16800409,2,2.095,414.805,6.0,4.0,2.0
BU16800500,8,6.711250000000001,1797.5350000000003,37.0,30.0,7.0
BU16960200,3,4.39,1231.5966666666666,11.0,9.0,2.0
BU16960300,1,0.0,0.0,12.0,5.0,7.0
BU17080002,15,5.295333333333333,1513.6653333333334,123.0,83.0,40.0
BU17083500,2,4.47,585.905,4.0,4.0,0.0
BU17210309,11,4.123636363636364,1229.0072727272727,48.0,32.0,16.0
BU17210402,12,7.409999999999999,2069.7666666666664,67.0,46.0,21.0
BU17240602,14,5.795,1693.9492857142857,53.0,42.0,11.0
BU17310609,5,4.776,1438.368,35.0,23.0,12.0
BU17341006,14,5.820000000000001,1700.060714285714,63.0,49.0,14.0
BU17710113,10,6.246,1837.958,33.0,22.0,11.0
BU17830408,15,5.124666666666666,1443.6773333333333,104.0,76.0,28.0
BU19001200,6,5.131666666666667,1542.4216666666669,31.0,23.0,8.0
BU19001201,5,4.840000000000001,1453.706,28.0,20.0,8.0
BU19040303,10,7.288999999999999,1380.402,51.0,32.0,19.0
BU19040305,3,4.19,1193.25,7.0,7.0,0.0
BU19110102,10,4.177,1164.368,52.0,39.0,13.0
BU19402302,6,5.651666666666666,1452.3916666666667,54.0,37.0,17.0
BU19402306,8,4.72625,1368.41375,66.0,46.0,20.0
BU19480113,11,5.670909090909091,1596.2945454545456,54.0,39.0,15.0
BU19500709,2,4.94,1165.045,7.0,7.0,0.0
BU19630599,2,3.46,1013.88,16.0,10.0,6.0
BU19781602,6,5.293333333333333,1322.0666666666666,26.0,19.0,7.0
BU19781603,7,4.912857142857143,1274.32,29.0,21.0,8.0
BU19820701,5,5.406000000000001,1423.608,26.0,19.0,7.0
BU00344502,38,6.213684210526316,1685.7823684210525,188.0,144.0,44.0
BU00347402,23,6.35086956521739,1854.9069565217392,141.0,97.0,44.0
BU00740100,6,5.213333333333334,1433.0466666666669,84.0,57.0,27.0
BU00740103,7,4.751428571428572,1305.712857142857,86.0,59.0,27.0
BU00850107,11,3.725454545454546,1050.5963636363633,133.0,33.0,100.0
BU00981007,10,4.434,1180.8580000000002,46.0,37.0,9.0
BU00981009,9,3.1011111111111114,882.3533333333332,43.0,34.0,9.0
BU01500501,20,6.915499999999999,1711.7960000000003,193.0,129.0,64.0
BU01630102,7,3.057142857142857,837.3871428571429,42.0,32.0,10.0
BU01660019,1,0.0,0.0,2.0,2.0,0.0
BU01750103,18,5.0600000000000005,1395.4833333333333,86.0,67.0,19.0
BU01931210,30,6.258333333333332,1703.0166666666669,282.0,173.0,109.0
BU02000207,8,6.694999999999999,1976.3024999999998,86.0,59.0,27.0
BU02021368,2,4.905,800.89,29.0,9.0,20.0
BU02090381,10,6.127000000000001,1792.348,44.0,29.0,15.0
BU02090382,11,5.6018181818181825,1635.9836363636364,46.0,31.0,15.0
BU02220402,5,6.672,1370.3259999999998,39.0,25.0,14.0
BU02250204,21,5.600476190476191,1562.6066666666666,63.0,42.0,21.0
BU02630009,5,5.601999999999999,1673.1919999999998,43.0,28.0,15.0
BU02970202,6,5.95,1690.493333333333,46.0,33.0,13.0
BU03211236,38,5.589999999999998,1613.0202631578948,183.0,142.0,41.0
BU03440121,50,6.4994,1931.9386000000004,674.0,345.0,329.0
BU03530002,32,4.8471875,1298.5431250000004,171.0,123.0,48.0
BU03550502,10,6.782000000000001,2006.7099999999998,100.0,67.0,33.0
BU03620201,18,6.785555555555555,1766.961111111111,221.0,117.0,104.0
BU0363FP04,59,6.810338983050848,1934.3516949152543,646.0,341.0,305.0
BU03730114,18,3.8883333333333336,1132.5072222222223,98.0,68.0,30.0
BU03730115,18,5.251666666666668,1364.5077777777778,98.0,68.0,30.0
BU03840802,12,7.6241666666666665,1959.0666666666666,43.0,33.0,10.0
BU03920403,53,6.551320754716982,1907.893018867924,508.0,326.0,182.0
BU03990802,18,6.568333333333333,1967.3144444444447,120.0,79.0,41.0
BU04060002,26,5.886153846153847,1649.5696153846156,205.0,121.0,84.0
BU04730202,15,6.566666666666666,1780.6833333333332,96.0,61.0,35.0
BU04730203,15,5.123333333333334,1421.0406666666668,94.0,61.0,33.0
BU04797130,2,3.91,878.49,7.0,5.0,2.0
BU04893054,20,7.268000000000001,2102.8565000000003,147.0,101.0,46.0
BU05020998,21,5.7042857142857155,1519.5180952380954,116.0,82.0,34.0
BU06371405,25,7.96,2045.8111999999999,60.0,42.0,18.0
BU07360701,5,4.574000000000001,1259.468,44.0,26.0,18.0
BU07941600,22,6.733636363636364,1929.356363636363,234.0,141.0,93.0
BU08200200,2,2.98,463.55,12.0,8.0,4.0
BU08260503,11,5.137272727272727,1435.872727272727,103.0,67.0,36.0
BU08280701,28,6.355714285714287,1718.1510714285716,197.0,131.0,66.0
BU08553202,60,6.423000000000001,1861.2083333333333,397.0,224.0,173.0
BU05051902,69,7.6115942028985515,2207.3771014492754,440.0,262.0,178.0
BU05130203,31,6.290645161290324,1800.3229032258066,257.0,172.0,85.0
BU05181041,30,7.167333333333333,2109.758,519.0,282.0,237.0
BU05320301,3,5.3566666666666665,1009.7166666666667,19.0,10.0,9.0
BU05420001,10,6.583,1836.475,90.0,56.0,34.0
BU05991289,8,6.79,1911.1425,91.0,52.0,39.0
BU05991446,27,5.470740740740741,1554.846296296296,156.0,111.0,45.0
BU06370106,89,6.365280898876403,1787.8469662921343,90.0,65.0,25.0
BU08554204,41,6.226341463414633,1750.6065853658538,251.0,166.0,85.0
BU08555602,35,6.150857142857144,1759.074857142857,166.0,128.0,38.0
BU08670102,1,0.0,0.0,8.0,6.0,2.0
BU09570304,8,5.9,1751.4087500000003,85.0,43.0,42.0
BU09833205,13,6.234615384615385,1741.5507692307692,85.0,54.0,31.0
BU09950115,18,6.987222222222222,1705.5777777777778,51.0,48.0,3.0
BU15090200,9,5.82888888888889,1631.3255555555556,89.0,52.0,37.0
BU16212321,32,6.997187500000001,1923.1271875,177.0,144.0,33.0
BU16690409,6,5.151666666666666,1468.7866666666669,28.0,20.0,8.0
BU16740706,3,5.153333333333333,921.9433333333333,20.0,17.0,3.0
BU16818501,2,0.875,262.65,10.0,6.0,4.0
BU16818509,3,3.876666666666667,1037.9633333333334,12.0,8.0,4.0
BU16990410,4,5.072500000000001,1512.9275,15.0,11.0,4.0
BU17421007,21,4.631428571428572,1373.3828571428571,146.0,112.0,34.0
BU18590007,2,2.44,527.755,14.0,7.0,7.0
BU19000408,5,6.014,1552.98,30.0,24.0,6.0
BU19040103,17,6.355294117647057,1876.4323529411763,89.0,69.0,20.0
BU19110106,9,3.973333333333334,1135.7333333333331,47.0,34.0,13.0
BU19110191,1,0.0,0.0,2.0,2.0,0.0
BU19301411,47,6.348936170212767,1810.2959574468082,298.0,220.0,78.0
BU19403901,1,0.0,0.0,3.0,2.0,1.0
BU19404401,6,6.701666666666667,1998.5083333333332,41.0,30.0,11.0
BU19420513,2,4.255,565.085,7.0,5.0,2.0
BU19500309,4,5.915,1630.615,26.0,17.0,9.0
BU19590103,9,4.811111111111112,1328.9455555555553,59.0,43.0,16.0
BU19631299,2,3.025,689.72,11.0,9.0,2.0
BU19631399,1,0.0,0.0,5.0,3.0,2.0
BU19700408,5,5.934,1753.426,24.0,19.0,5.0
BU19781408,8,5.746249999999999,1708.3625,33.0,25.0,8.0
BU19791363,21,6.144761904761904,1798.0409523809524,89.0,69.0,20.0
BU19802801,17,6.408235294117647,1744.5129411764701,136.0,99.0,37.0
BU19820101,14,5.774285714285713,1695.305,77.0,53.0,24.0
BU19822801,5,5.246,1467.546,28.0,21.0,7.0
BU00342503,64,6.2231250000000005,1801.3484375000003,391.0,270.0,121.0
BU00902311,3,6.210000000000001,1863.0933333333335,2.0,2.0,0.0
BU01060603,42,6.557380952380955,1920.8676190476192,253.0,184.0,69.0
BU01060706,41,6.337804878048782,1871.1000000000001,240.0,173.0,67.0
BU01140500,7,4.949999999999998,1385.187142857143,37.0,24.0,13.0
BU01191000,29,5.644827586206896,1643.1875862068966,177.0,124.0,53.0
BU01191001,22,6.743636363636361,1982.6413636363634,132.0,89.0,43.0
BU01191003,7,7.227142857142858,2157.64,23.0,17.0,6.0
BU01602902,2,0.91,271.775,11.0,8.0,3.0
BU01640902,15,7.043333333333333,1615.6693333333335,86.0,67.0,19.0
BU01890105,10,5.537000000000001,1611.6219999999998,72.0,52.0,20.0
BU02000804,18,6.715,1926.0661111111108,184.0,116.0,68.0
BU02035412,15,6.391333333333333,1933.628666666667,147.0,104.0,43.0
BU02221107,4,6.1875,1855.9525,20.0,13.0,7.0
BU02223105,15,6.879333333333333,1906.8299999999997,78.0,56.0,22.0
BU02281002,25,5.8072,1711.0699999999997,246.0,159.0,87.0
BU02300304,9,6.912222222222223,2068.741111111111,69.0,48.0,21.0
BU04530102,28,5.211785714285713,1529.2253571428569,219.0,133.0,86.0
BU04791121,25,6.086799999999998,1721.1099999999997,58.0,36.0,22.0
BU05130800,31,6.59548387096774,1773.1541935483865,265.0,176.0,89.0
BU06270407,3,6.13,1199.7966666666669,25.0,13.0,12.0
BU07170909,9,7.13,1994.0622222222223,62.0,41.0,21.0
BU07171008,6,5.343333333333334,1511.9216666666669,38.0,18.0,20.0
BU07440101,7,3.75,897.8314285714285,50.0,28.0,22.0
BU07580809,2,3.07,408.65,27.0,13.0,14.0
BU03530011,36,7.546666666666667,2185.9974999999995,222.0,154.0,68.0
BU03610502,30,6.816999999999998,1929.5513333333333,265.0,175.0,90.0
BU03840701,44,6.990681818181816,1913.3845454545453,251.0,168.0,83.0
BU06370301,95,6.615789473684211,1891.494947368421,149.0,90.0,59.0
BU08094095,2,4.49,1347.245,14.0,7.0,7.0
BU08470704,1,0.0,0.0,0.0,0.0,0.0
BU08650009,1,0.0,0.0,2.0,2.0,0.0
BU08650102,12,5.715833333333333,1644.861666666667,110.0,69.0,41.0
BU08790408,2,4.33,1223.98,24.0,13.0,11.0
BU09171100,19,6.067894736842104,1730.1452631578948,169.0,96.0,73.0
BU09950226,25,7.454799999999999,2137.7072,110.0,93.0,17.0
BU15251204,31,5.02516129032258,1453.9225806451616,142.0,98.0,44.0
BU15860610,14,4.589285714285714,1320.69,74.0,52.0,22.0
BU15980901,10,6.544999999999999,1860.6739999999998,34.0,30.0,4.0
BU16401100,4,5.17,1536.4925,25.0,15.0,10.0
BU16590001,5,4.27,1245.4559999999997,47.0,27.0,20.0
BU16740609,5,6.144,1487.5899999999997,44.0,28.0,16.0
BU16818001,2,1.56,469.1,7.0,5.0,2.0
BU16960500,4,5.2925,1578.545,22.0,17.0,5.0
BU17190309,11,3.4572727272727275,1034.380909090909,60.0,40.0,20.0
BU17340202,25,5.954399999999998,1582.3423999999995,137.0,103.0,34.0
BU18950502,3,1.2366666666666666,343.2833333333333,15.0,12.0,3.0
BU18950600,6,4.191666666666666,1244.515,45.0,36.0,9.0
BU19001008,2,1.465,439.37,10.0,7.0,3.0
BU19300803,59,5.509322033898306,1584.7996610169491,376.0,277.0,99.0
BU19300903,56,6.072857142857144,1757.7341071428577,357.0,260.0,97.0
BU19310106,10,3.776,1096.685,51.0,38.0,13.0
BU19310200,3,6.413333333333334,1886.36,44.0,24.0,20.0
BU19420305,41,5.890975609756097,1704.2817073170736,268.0,185.0,83.0
BU19480401,13,5.179230769230769,1518.1507692307694,89.0,69.0,20.0
BU19480402,19,6.255263157894738,1848.317368421053,134.0,99.0,35.0
BU19493700,4,7.157499999999999,1956.3525,31.0,21.0,10.0
BU19493800,4,5.2575,1521.8674999999998,14.0,11.0,3.0
BU19690404,8,5.829999999999999,1588.9212499999999,74.0,47.0,27.0
BU19780107,12,6.914999999999999,2058.7341666666666,62.0,47.0,15.0
BU00860204,9,4.107777777777778,1198.5244444444443,45.0,34.0,11.0
BU00860209,9,3.533333333333333,1047.937777777778,45.0,34.0,11.0
BU00980304,4,4.5925,1338.1475,13.0,12.0,1.0
BU01060811,45,7.0471111111111115,2056.988444444444,220.0,164.0,56.0
BU01144400,5,6.078,1765.8260000000002,76.0,51.0,25.0
BU01144700,5,6.5200000000000005,1865.364,49.0,34.0,15.0
BU01602101,1,0.0,0.0,5.0,2.0,3.0
BU01640800,25,6.6928,1807.7347999999997,162.0,114.0,48.0
BU01770116,17,5.882352941176471,1750.928823529412,106.0,79.0,27.0
BU01931130,35,5.6268571428571414,1618.058285714286,361.0,225.0,136.0
BU02000704,18,6.3933333333333335,1834.5144444444445,194.0,125.0,69.0
BU02090161,25,6.237999999999999,1586.578,126.0,89.0,37.0
BU02090204,1,0.0,0.0,4.0,2.0,2.0
BU02220202,31,6.038387096774194,1622.524193548387,219.0,152.0,67.0
BU02250108,17,5.991176470588236,1541.105294117647,63.0,42.0,21.0
BU02300202,6,3.515,990.5416666666666,42.0,27.0,15.0
BU02300203,7,4.468571428571429,1319.1771428571428,44.0,29.0,15.0
BU02431401,38,7.058947368421053,2087.0736842105266,234.0,169.0,65.0
BU02620401,4,4.8475,1379.43,39.0,29.0,10.0
BU02890402,32,5.8834375,1629.3703125,210.0,137.0,73.0
BU02890501,26,6.4280769230769215,1780.1146153846157,150.0,100.0,50.0
BU02960123,40,5.5447500000000005,1561.0462499999999,189.0,145.0,44.0
BU02990001,16,4.9799999999999995,1434.43375,129.0,82.0,47.0
BU03071905,38,6.1421052631578945,1765.8813157894735,224.0,172.0,52.0
BU03073304,29,7.224827586206897,2036.0296551724139,152.0,119.0,33.0
BU03073401,15,7.256,1810.5839999999998,105.0,66.0,39.0
BU03350101,9,6.154444444444445,1847.3622222222225,90.0,59.0,31.0
BU03440525,29,6.113448275862068,1673.9317241379313,361.0,187.0,174.0
BU03610301,26,5.963076923076924,1660.275769230769,225.0,136.0,89.0
BU0363FB01,15,7.02,2002.9160000000002,127.0,74.0,53.0
BU03830011,11,5.199999999999999,1308.2836363636363,108.0,64.0,44.0
BU03850003,18,5.817777777777778,1600.3955555555553,129.0,90.0,39.0
BU03920505,19,7.3626315789473695,1616.8210526315788,153.0,112.0,41.0
BU03922107,26,6.019615384615387,1513.405769230769,145.0,114.0,31.0
BU03940674,6,6.345,1777.6066666666666,39.0,26.0,13.0
BU03960700,40,5.845,1679.0464999999997,253.0,193.0,60.0
BU04000507,24,6.459583333333334,1833.4712499999996,130.0,103.0,27.0
BU04792130,27,6.877777777777778,1980.5462962962963,60.0,38.0,22.0
BU04820302,29,5.175862068965517,1442.0837931034482,158.0,102.0,56.0
BU04820304,29,5.006551724137931,1419.3737931034482,158.0,102.0,56.0
BU04980300,6,5.151666666666666,1365.055,33.0,25.0,8.0
BU05050508,64,6.808593750000001,2000.5270312499997,493.0,298.0,195.0
BU05130305,26,6.375384615384615,1853.206923076923,246.0,162.0,84.0
BU05470100,32,6.533749999999999,1859.4765625000002,248.0,166.0,82.0
BU06030391,31,6.833225806451614,1948.8296774193543,321.0,190.0,131.0
BU06640103,11,5.1000000000000005,1490.4199999999998,117.0,74.0,43.0
BU06640220,4,6.43,1647.7825000000003,29.0,20.0,9.0
BU07700010,13,5.846153846153846,1654.066923076923,66.0,50.0,16.0
BU07700109,3,4.963333333333334,936.4633333333335,15.0,9.0,6.0
BU07772002,31,6.634838709677421,1888.7348387096774,175.0,118.0,57.0
BU07772003,29,6.256551724137932,1793.346551724138,167.0,112.0,55.0
BU07960211,26,5.760384615384615,1692.6699999999996,245.0,141.0,104.0
BU08092058,23,5.646521739130435,1626.798695652174,148.0,92.0,56.0
BU0363EE04,94,6.764893617021278,1979.035638297873,1118.0,515.0,603.0
BU05050504,69,6.665942028985507,1971.2098550724636,481.0,300.0,181.0
BU06370614,79,6.237721518987342,1619.0305063291141,99.0,70.0,29.0
BU08261000,8,6.71125,1955.9562500000002,47.0,37.0,10.0
BU08450200,7,5.502857142857143,1617.32,40.0,28.0,12.0
BU08555407,37,6.326216216216217,1792.666216216216,172.0,133.0,39.0
BU08820002,22,5.675454545454545,1618.0286363636367,173.0,111.0,62.0
BU09173901,31,6.815483870967743,1842.3032258064525,253.0,165.0,88.0
BU09280009,9,7.029999999999999,1971.601111111111,102.0,53.0,49.0
BU09832702,16,7.443750000000001,2092.8425,84.0,64.0,20.0
BU09883202,2,0.995,297.955,11.0,7.0,4.0
BU09951078,18,7.625555555555555,2269.133888888889,72.0,62.0,10.0
BU16741100,5,6.502000000000001,1779.6239999999998,47.0,27.0,20.0
BU16741109,2,2.36,705.81,22.0,13.0,9.0
BU16818909,2,4.07,1220.24,4.0,4.0,0.0
