buurtcode,reachable_buurten_10min,avg_bike_minutes_to_reachable,avg_bike_distance_to_reachable,bikeshed_total_amenities,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities
BU04201606,2,4.195,1050.635,16.0,8.0,8.0
BU04201608,8,5.767500000000001,1720.4950000000001,40.0,30.0,10.0
BU04390301,21,6.690476190476189,1663.3533333333332,222.0,148.0,74.0
BU04411802,15,5.717333333333333,1568.1960000000001,91.0,70.0,21.0
BU04530604,40,6.328749999999999,1833.8302500000002,276.0,191.0,85.0
BU04793212,17,6.305294117647059,1758.0064705882353,50.0,31.0,19.0
BU07151001,2,4.01,1204.78,4.0,4.0,0.0
BU07151601,3,4.703333333333334,1388.1833333333334,17.0,13.0,4.0
BU07152001,10,5.446,1630.666,93.0,63.0,30.0
BU07430901,1,0.0,0.0,2.0,2.0,0.0
BU07570007,4,6.525,1893.7675,37.0,23.0,14.0
BU07620100,15,6.431333333333333,1884.383333333333,32.0,19.0,13.0
BU07620106,21,5.645714285714286,1652.152857142857,52.0,31.0,21.0
BU07620107,21,5.111428571428571,1497.8095238095239,52.0,31.0,21.0
BU07700500,3,3.6733333333333333,1072.5933333333335,21.0,9.0,12.0
BU07850811,51,6.649803921568627,1963.4003921568626,300.0,196.0,104.0
BU07850914,34,5.473823529411765,1577.3826470588233,163.0,121.0,42.0
BU07960401,43,6.5900000000000025,1951.086279069768,372.0,225.0,147.0
BU08091035,25,4.6792,1357.1976000000002,166.0,105.0,61.0
BU08280703,30,6.133666666666665,1598.4896666666666,218.0,146.0,72.0
BU08280708,30,6.437,1852.5240000000001,212.0,139.0,73.0
BU0363EB09,75,6.7136000000000005,1767.6074666666666,849.0,388.0,461.0
BU04793213,20,6.507,1809.9125,77.0,50.0,27.0
BU04891432,35,5.72457142857143,1614.8854285714287,160.0,132.0,28.0
BU05130402,27,6.134814814814815,1760.7922222222226,227.0,153.0,74.0
BU05181492,17,5.525294117647059,1537.7988235294122,249.0,134.0,115.0
BU05184212,19,5.900526315789474,1730.863157894737,143.0,106.0,37.0
BU05320304,22,5.8963636363636365,1681.197727272727,133.0,95.0,38.0
BU05370802,25,7.2368000000000015,2094.9215999999997,216.0,155.0,61.0
BU06100206,33,4.834242424242424,1373.9015151515152,178.0,123.0,55.0
BU06371105,43,6.273255813953489,1733.0988372093022,77.0,39.0,38.0
BU08552502,80,6.6386249999999976,1905.3539999999987,559.0,339.0,220.0
BU08553802,56,6.424642857142856,1855.6387499999996,343.0,231.0,112.0
BU08670007,12,5.480833333333333,1597.7649999999996,126.0,71.0,55.0
BU08670011,3,4.596666666666667,1372.1166666666668,11.0,10.0,1.0
BU08890109,1,0.0,0.0,2.0,2.0,0.0
BU15070209,11,6.713636363636363,1927.2881818181816,82.0,49.0,33.0
BU16900309,2,4.49,834.74,6.0,5.0,1.0
