buurtcode,klasse_apotheek,klasse_basisschool,klasse_bushalte,klasse_fastfood,klasse_horeca,klasse_huisarts,klasse_kinderopvang,klasse_kledingwinkel,klasse_restaurant,klasse_sportterrein,klasse_supermarkt,klasse_treinstation,klasse_voortgezet_onderwijs,klasse_ziekenhuis,aantal_drinkwaterpunt,utilitarian_amenities,leisure_social_amenities,total_amenities
BU08230002,1.0,2.0,2,1.0,2.0,2.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,9.0,4.0,13.0
BU08230003,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08230004,0.0,0.0,1,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0,3.0
BU08230005,0.0,1.0,2,0.0,1.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5.0,2.0,7.0
BU08230008,1.0,0.0,2,0.0,2.0,2.0,2,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0,8.0,5.0,13.0
BU08230009,0.0,0.0,2,0.0,2.0,0.0,1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,3.0,5.0,8.0
BU08230100,0.0,1.0,2,0.0,2.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,5.0,3.0,8.0
BU08230109,0.0,0.0,2,0.0,2.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,4.0,3.0,7.0
BU08230200,2.0,1.0,2,1.0,2.0,2.0,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,10.0,6.0,16.0
BU08230208,0.0,0.0,2,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0,5.0
BU08230209,0.0,0.0,2,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3.0,3.0,6.0
BU08230300,0.0,1.0,2,0.0,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,2.0,7.0
BU08230309,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08240101,0.0,0.0,2,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0,5.0
BU08240201,0.0,2.0,2,1.0,2.0,0.0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,7.0,4.0,11.0
BU08240202,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08240301,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0
BU08240401,1.0,1.0,1,2.0,2.0,2.0,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1,6.0,9.0,15.0
BU08240402,0.0,0.0,1,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,4.0
