buurtcode,klasse_apotheek,klasse_basisschool,klasse_bushalte,klasse_fastfood,klasse_horeca,klasse_huisarts,klasse_kinderopvang,klasse_kledingwinkel,klasse_restaurant,klasse_sportterrein,klasse_supermarkt,klasse_treinstation,klasse_voortgezet_onderwijs,klasse_ziekenhuis,aantal_drinkwaterpunt,utilitarian_amenities,leisure_social_amenities,total_amenities
BU00140000,0.0,2.0,1,2.0,2.0,1.0,1,2.0,2.0,0.0,2.0,0.0,0.0,0.0,7,7.0,15.0,22.0
BU00140001,2.0,0.0,2,2.0,2.0,2.0,2,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0,14.0,8.0,22.0
BU00140002,0.0,2.0,2,2.0,2.0,1.0,1,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0,8.0,7.0,15.0
BU00140003,0.0,0.0,2,2.0,2.0,0.0,1,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0,4.0,8.0,12.0
BU00140004,0.0,0.0,1,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2.0,4.0,6.0
BU00140005,0.0,2.0,2,2.0,2.0,2.0,2,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1,10.0,9.0,19.0
BU00140007,1.0,0.0,2,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,6.0
BU00140008,0.0,0.0,2,2.0,2.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4.0,6.0,10.0
BU00140100,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.0,5.0
BU00140101,0.0,2.0,1,2.0,2.0,2.0,2,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,8.0,6.0,14.0
BU00140102,0.0,0.0,1,1.0,2.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,4.0,6.0
BU00140103,1.0,1.0,2,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,10.0,4.0,14.0
BU00140104,0.0,1.0,2,2.0,2.0,1.0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7.0,5.0,12.0
BU00140105,0.0,0.0,1,2.0,2.0,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,3.0,5.0,8.0
BU00140106,0.0,0.0,1,1.0,2.0,0.0,1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0,4.0,5.0,9.0
BU00140107,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00140108,0.0,2.0,2,0.0,2.0,0.0,2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1,6.0,6.0,12.0
BU00140109,0.0,0.0,1,1.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,3.0,5.0
BU00140110,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140200,0.0,2.0,2,0.0,2.0,0.0,2,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,7.0,4.0,11.0
BU00140201,0.0,0.0,1,2.0,2.0,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,3.0,5.0,8.0
BU00140202,0.0,0.0,2,2.0,2.0,0.0,2,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0,6.0,7.0,13.0
BU00140203,0.0,1.0,2,2.0,2.0,1.0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,7.0,5.0,12.0
BU00140300,0.0,0.0,1,2.0,2.0,0.0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,3.0,6.0,9.0
BU00140301,0.0,2.0,2,2.0,2.0,1.0,2,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,9.0,6.0,15.0
BU00140302,2.0,1.0,2,2.0,2.0,2.0,2,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,11.0,6.0,17.0
BU00140400,1.0,1.0,2,2.0,2.0,2.0,2,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0,10.0,7.0,17.0
BU00140401,0.0,2.0,1,2.0,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,4.0,9.0
BU00140402,0.0,0.0,2,2.0,2.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,4.0,5.0,9.0
BU00140403,0.0,1.0,1,1.0,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,4.0,8.0
BU00140404,0.0,0.0,2,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,1.0,5.0
BU00140500,0.0,0.0,1,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,4.0
BU00140501,2.0,0.0,2,0.0,2.0,2.0,2,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,9.0,5.0,14.0
BU00140502,0.0,0.0,2,0.0,2.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,3.0,4.0,7.0
BU00140503,0.0,0.0,1,1.0,2.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,4.0,6.0
BU00140504,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140505,0.0,0.0,2,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0,5.0
BU00140506,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00140507,0.0,0.0,2,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,4.0
BU00140508,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140509,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140510,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140511,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140600,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0,5.0,1.0,6.0
BU00140601,0.0,2.0,2,1.0,2.0,0.0,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,8.0,4.0,12.0
BU00140602,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3.0,1.0,4.0
BU00140603,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00140604,0.0,0.0,2,2.0,2.0,2.0,2,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0,8.0,8.0,16.0
BU00140605,0.0,2.0,2,2.0,2.0,0.0,2,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2,10.0,9.0,19.0
BU00140606,0.0,2.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,6.0
BU00140700,0.0,2.0,2,1.0,2.0,0.0,2,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1,7.0,7.0,14.0
BU00140701,1.0,0.0,2,1.0,2.0,2.0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,8.0,4.0,12.0
BU00140702,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0
BU00140703,2.0,1.0,2,0.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,11.0,1.0,12.0
BU00140704,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3.0,1.0,4.0
BU00140705,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140800,0.0,0.0,2,2.0,2.0,0.0,2,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0,6.0,7.0,13.0
BU00140801,2.0,2.0,2,0.0,2.0,2.0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,11.0,4.0,15.0
BU00140802,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140803,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00140804,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140805,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00140806,0.0,2.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,6.0
BU00140809,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140810,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140811,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3.0,1.0,4.0
BU00140812,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0,1.0,3.0
BU00140900,2.0,0.0,2,0.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,8.0
BU00140901,0.0,2.0,2,0.0,2.0,0.0,2,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0,10.0,6.0,16.0
BU00140902,0.0,0.0,2,1.0,2.0,0.0,1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0,3.0,7.0,10.0
BU00140903,0.0,0.0,1,2.0,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,4.0,7.0
BU00140904,1.0,2.0,2,1.0,2.0,2.0,2,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2,11.0,8.0,19.0
BU00140905,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00140906,0.0,0.0,2,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,5.0
BU00140907,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,3.0
BU00140908,0.0,0.0,1,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,4.0
BU00140909,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141000,2.0,2.0,2,1.0,2.0,2.0,2,0.0,1.0,1.0,2.0,0.0,2.0,0.0,3,14.0,8.0,22.0
BU00141001,0.0,2.0,2,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,1.0,7.0
BU00141002,1.0,1.0,2,2.0,2.0,2.0,2,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1,9.0,9.0,18.0
BU00141003,0.0,0.0,2,0.0,1.0,1.0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,4.0,9.0
BU00141004,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0,1.0,3.0
BU00141005,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141100,0.0,1.0,2,1.0,1.0,1.0,2,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,8.0,3.0,11.0
BU00141101,0.0,2.0,2,2.0,2.0,0.0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,7.0,5.0,12.0
BU00141102,1.0,0.0,2,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7.0,0.0,7.0
BU00141103,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141104,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00141105,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141106,0.0,0.0,2,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0,5.0
BU00141107,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141200,1.0,1.0,2,2.0,2.0,2.0,2,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0,10.0,8.0,18.0
BU00141201,0.0,1.0,2,0.0,1.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5.0,2.0,7.0
BU00141202,0.0,2.0,1,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1,7.0,2.0,9.0
BU00141203,0.0,1.0,2,1.0,2.0,0.0,2,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,7.0,5.0,12.0
BU00141204,0.0,2.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,8.0,0.0,8.0
BU00141205,0.0,1.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00141206,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141207,0.0,0.0,2,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3.0,4.0,7.0
BU00141208,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141209,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141210,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00141211,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141300,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0
BU00141301,0.0,2.0,2,0.0,1.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,6.0,2.0,8.0
BU00141302,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141400,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141401,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0
BU00141402,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141403,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,5.0
BU00141404,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00141405,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141406,1.0,1.0,1,0.0,1.0,2.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,7.0,2.0,9.0
BU00141500,2.0,2.0,2,2.0,2.0,2.0,2,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1,11.0,9.0,20.0
BU00141501,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141502,1.0,1.0,2,0.0,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,6.0,2.0,8.0
BU00141503,0.0,1.0,1,0.0,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,2.0,6.0
BU00141504,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00141505,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141506,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,4.0,1.0,5.0
BU00141600,0.0,1.0,2,0.0,1.0,0.0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,5.0,3.0,8.0
BU00141601,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141602,0.0,1.0,2,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,4.0,1.0,5.0
BU00141603,0.0,0.0,1,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0,3.0
BU00141604,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00141605,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00141700,0.0,0.0,2,2.0,2.0,0.0,2,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0,6.0,8.0,14.0
BU00141701,1.0,1.0,2,0.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,8.0
BU00141702,2.0,1.0,2,0.0,1.0,2.0,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,11.0,3.0,14.0
BU00141703,1.0,2.0,2,0.0,0.0,0.0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0,9.0,2.0,11.0
BU00141704,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141705,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141706,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141707,0.0,0.0,1,0.0,2.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,2.0,4.0,6.0
BU00141708,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,1.0,4.0
BU00141709,0.0,0.0,1,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,3.0,5.0
BU00141710,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141800,1.0,2.0,1,1.0,1.0,2.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9.0,2.0,11.0
BU00141801,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0
BU00141802,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00141803,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141900,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,5.0,1.0,6.0
BU00141901,0.0,0.0,2,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,4.0
BU00141902,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00141903,0.0,1.0,2,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,4.0,2.0,6.0
BU00141904,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0
BU00141905,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,1.0,4.0
BU00141906,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141907,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00141908,0.0,0.0,1,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0,3.0
BU00141909,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340101,0.0,1.0,2,2.0,2.0,2.0,1,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1,9.0,9.0,18.0
BU00340102,0.0,0.0,1,2.0,2.0,0.0,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,2.0,8.0,10.0
BU00340201,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340202,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340203,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00340204,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340205,0.0,0.0,1,0.0,2.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3.0,3.0,6.0
BU00340301,0.0,1.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.0,0.0,4.0
BU00340302,0.0,1.0,1,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.0,1.0,5.0
BU00340303,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340304,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340401,0.0,0.0,1,1.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3.0,2.0,5.0
BU00340402,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340403,0.0,1.0,1,0.0,1.0,0.0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,5.0,3.0,8.0
BU00340501,0.0,2.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,5.0
BU00340502,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340503,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340504,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340601,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0
BU00340602,0.0,1.0,1,1.0,1.0,0.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5.0,2.0,7.0
BU00340603,0.0,0.0,1,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,4.0
BU00340604,0.0,0.0,1,0.0,1.0,0.0,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2.0,3.0,5.0
BU00340605,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340606,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340701,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340702,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340703,0.0,1.0,1,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.0,1.0,5.0
BU00340704,0.0,0.0,1,1.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,3.0,5.0
BU00340801,0.0,1.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0
BU00340802,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00340803,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340901,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00340902,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00341001,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00341002,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00341003,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.0,15.0,17.0
BU00341101,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU00341102,0.0,1.0,1,0.0,0.0,0.0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,5.0,1.0,6.0
BU00341401,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU00341501,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
