neighbourhood_type,n_buurten,avg_population,avg_address_density,avg_population_density,avg_total_access,avg_utilitarian_access,avg_leisure_social_access,avg_elderly_share,avg_family_household_share
High-density urban neighbourhood,98,2756.683673469388,2983.234693877551,5964.381443298969,286.8673469387755,162.48979591836735,124.37755102040816,0.18885070936392367,0.2371768870052825
Low-density family / VINEX-like neighbourhood,107,680.7009345794393,299.14953271028037,897.4018691588785,34.81308411214953,23.130841121495326,11.682242990654206,0.18217225455506122,0.44241266661362133
Other neighbourhood,362,1307.4171270718232,734.1843575418994,2010.0174418604652,65.81491712707182,42.83425414364641,22.980662983425415,0.23063056316160563,0.3362482062200386
