neighbourhood_type,n_buurten,avg_population,avg_address_density,avg_population_density,avg_total_access,avg_utilitarian_access,avg_leisure_social_access,avg_elderly_share,avg_family_household_share
High-density urban neighbourhood,3663,2100.162435162435,3233.4485394485396,7600.888609012035,350.23478023478026,204.54299754299754,145.6917826917827,0.20362931301334378,0.2782819392387613
Low-density family / VINEX-like neighbourhood,2050,558.780487804878,240.28634146341463,841.2429268292683,38.1790243902439,26.54390243902439,11.635121951219512,0.18958198178003516,0.4513113973917891
Other neighbourhood,9016,1021.0431455190771,673.9532930107526,2074.104619076185,79.84394409937889,54.16958740017746,25.674356699201418,0.23621205465110195,0.3392034522701079
