buurtcode,buurtnaam,gemeente,a_inw,elderly_share,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities,elderly_amenity_priority_score
BU07726310,BeA2,Eindhoven,25,0.2,15.0,5.0,0.6554238236446037
BU17280007,Bladel Veilig Oord,Bladel,390,0.3333333333333333,41.0,27.0,0.655229489546616
BU16670109,Verspreide huizen Hooge Mierde,Reusel-De Mierden,480,0.2083333333333333,16.0,8.0,0.6549329528711837
BU08230300,Oostelbeers,Oirschot,1220,0.2295081967213114,21.0,11.0,0.6541179432663795
BU17240409,Industrieterrein 'Leemskuilen',Bergeijk,50,0.3,40.0,14.0,0.6539170816315112
BU16520608,Verspreide huizen Grotelse Heide en Esp,Gemert-Bakel,1080,0.1527777777777778,3.0,4.0,0.6537368594465892
BU16590100,Aarle-Rixtel,Laarbeek,5315,0.277516462841016,32.0,17.0,0.6533861520809597
BU07430603,Centrum,Asten,915,0.448087431693989,76.0,27.0,0.6533495589250079
BU16670309,Verspreide huizen Hulsel,Reusel-De Mierden,235,0.2127659574468085,18.0,9.0,0.6531559549588052
BU08230209,Verspreide huizen Middelbeers,Oirschot,645,0.2248062015503876,21.0,11.0,0.65223714519801
BU07700001,Molenakkers,Eersel,1085,0.3133640552995391,46.0,13.0,0.6518912496026109
BU08480109,Verspreide huizen Breugel,Son en Breugel,190,0.1842105263157894,14.0,5.0,0.65047322188423
BU16520500,Elsendorp,Gemert-Bakel,610,0.180327868852459,12.0,7.0,0.6500111900632239
BU08470202,'t Vaartje,Someren,40,0.125,0.0,0.0,0.65
BU08470406,Hoeven,Someren,160,0.125,0.0,0.0,0.65
BU07620400,Sint Jozefparochie-Oost,Deurne,1745,0.2292263610315186,21.0,16.0,0.6499068483347246
BU16520708,Verspreide huizen Groote Peel,Gemert-Bakel,290,0.1724137931034483,11.0,5.0,0.6498500917392253
BU16520300,Handel,Gemert-Bakel,1395,0.2473118279569892,24.0,20.0,0.649766783440391
BU17060100,Budel-Schoot,Cranendonck,1930,0.2642487046632124,30.0,19.0,0.6491700799741643
BU08230000,Oirschot-Centrum,Oirschot,4470,0.3165548098434004,42.0,25.0,0.6487922366996273
BU07620104,Provinciebuurt,Deurne,905,0.2707182320441988,31.0,21.0,0.6487533589509532
BU17060000,Budel,Cranendonck,7915,0.277321541377132,35.0,18.0,0.6483929482243268
BU07430802,Verspreide huizen Heusden,Asten,965,0.1658031088082901,9.0,7.0,0.6482968491854881
BU08230005,Straten met Moleneind,Oirschot,240,0.25,29.0,15.0,0.64811447434678
BU07620301,Koolhof-Zuid,Deurne,3220,0.2406832298136646,26.0,16.0,0.6476636572810301
BU08200001,Nuenen-Zuid,"Nuenen, Gerwen en Nederwetten",7090,0.306064880112835,42.0,22.0,0.6470552812008438
BU17060002,Keunenhoek Broekkant Schoordijk,Cranendonck,395,0.2151898734177215,21.0,13.0,0.6467512696826484
BU16670001,Voorste Heikant en Weijereind,Reusel-De Mierden,430,0.2209302325581395,23.0,13.0,0.6463170379121944
BU07531001,'t Zand,Best,130,0.1153846153846153,0.0,0.0,0.6461538461538461
BU07700008,De Hees en Genderweg,Eersel,150,0.2666666666666666,36.0,14.0,0.6460444991514201
BU16520509,Verspreide huizen Elsendorp,Gemert-Bakel,530,0.1698113207547169,12.0,7.0,0.6458045708241271
BU17060001,"Heikant, Meemortel, Bosch",Cranendonck,410,0.2195121951219512,23.0,13.0,0.6457498229377191
BU17060101,Klein-Schoot,Cranendonck,115,0.2608695652173913,32.0,19.0,0.6450880487692148
BU07620110,Zeilberg,Deurne,1775,0.2338028169014084,26.0,16.0,0.6449114921161276
BU17280200,Hapert Centrum,Bladel,815,0.3067484662576687,41.0,27.0,0.6445955427163501
BU08470602,Vlas,Someren,180,0.1111111111111111,0.0,0.0,0.6444444444444445
BU17240602,Buitengebied Noord 2,Bergeijk,145,0.2758620689655172,42.0,11.0,0.6439905501845395
BU17240303,Willibrordusstraat e.o.,Bergeijk,185,0.3243243243243243,52.0,19.0,0.6431661981457764
BU07431002,Verspreide huizen Ommel,Asten,365,0.1917808219178082,21.0,6.0,0.6431253540007159
BU08230309,Verspreide huizen Oostelbeers,Oirschot,670,0.2014925373134328,21.0,11.0,0.642911679503228
BU17280409,Verspreide huizen Casteren,Bladel,65,0.1538461538461538,9.0,8.0,0.642694395069486
BU08480100,Breugel,Son en Breugel,1150,0.2521739130434782,31.0,20.0,0.6421553034818125
BU17240603,Buitengebied Noord 3,Bergeijk,300,0.2166666666666666,28.0,8.0,0.6418840336447902
BU07531601,Dijkstraten,Best,1865,0.1045576407506702,0.0,0.0,0.641823056300268
BU08200100,Gerwen,"Nuenen, Gerwen en Nederwetten",1920,0.25,32.0,18.0,0.6415598948134058
BU17240210,Boscheind,Bergeijk,125,0.24,34.0,10.0,0.6413868964359648
BU08230004,Snepseind en Bijsterveld,Oirschot,500,0.29,40.0,25.0,0.6409006881888882
BU07725460,Bokt,Eindhoven,125,0.16,13.0,7.0,0.6405148548089297
BU16670009,Buitengebied ten zuiden van Reusel,Reusel-De Mierden,220,0.1136363636363636,4.0,0.0,0.6399937946013032
BU17280202,Hapert Oost,Bladel,1820,0.228021978021978,28.0,16.0,0.6398687811377344
BU08200003,Eeneind,"Nuenen, Gerwen en Nederwetten",710,0.2816901408450704,44.0,17.0,0.6386733707228545
BU16580209,Paaldijk,Heeze-Leende,75,0.1333333333333333,9.0,3.0,0.6385876275200956
BU17060309,Verspreide huizen Maarheeze,Cranendonck,130,0.2307692307692307,28.0,19.0,0.6385086658431929
BU16520101,Gemert-Noord,Gemert-Bakel,3915,0.2771392081736909,40.0,22.0,0.6382153878518073
BU17280400,Casteren,Bladel,1085,0.2119815668202765,21.0,22.0,0.6380908978633426
BU08470006,Groote Hoeven,Someren,375,0.0933333333333333,0.0,0.0,0.6373333333333333
BU08660003,Ekenrooi,Waalre,3830,0.2467362924281984,31.0,24.0,0.6367015667111104
BU16520209,Verspreide huizen Rooije Hoef,Gemert-Bakel,245,0.1632653061224489,15.0,12.0,0.6349922411755504
BU16590000,Beek,Laarbeek,5760,0.2196180555555555,27.0,20.0,0.6345937113398857
BU08470102,Gilde,Someren,295,0.0847457627118644,0.0,0.0,0.6338983050847458
BU08230100,Spoordonk,Oirschot,760,0.131578947368421,11.0,6.0,0.6326964813140667
BU07700009,Verspreide huizen Eersel,Eersel,390,0.2051282051282051,30.0,11.0,0.6320792572093417
BU16580119,Zevenhuizen,Heeze-Leende,325,0.1076923076923077,7.0,2.0,0.6318812648214539
BU17240202,Prins van Luikstraat e.o.,Bergeijk,430,0.2441860465116279,41.0,12.0,0.631865656785147
BU07430801,Heusden centrum,Asten,1645,0.2370820668693009,36.0,17.0,0.6317516428390313
BU16520309,Verspreide huizen Heereveld,Gemert-Bakel,270,0.1851851851851851,21.0,17.0,0.6314707058650437
BU17240404,Heuvel,Bergeijk,65,0.3076923076923077,57.0,19.0,0.6296874529264168
BU17280100,Netersel,Bladel,975,0.1692307692307692,19.0,15.0,0.6294586591721936
BU07620109,Verspreide woningen bij Deurne,Deurne,2615,0.1950286806883365,26.0,16.0,0.629401837630899
BU08660000,Waalre,Waalre,6780,0.2441002949852507,32.0,30.0,0.6293639472337356
BU16520609,Verspreide huizen ten zuidwesten van Bakel,Gemert-Bakel,705,0.1347517730496454,14.0,7.0,0.6290503763154773
BU17240306,De Hasselt e.o.,Bergeijk,380,0.2368421052631578,42.0,11.0,0.6283825647035959
BU17240207,Kapellerweg-Rijt,Bergeijk,175,0.2285714285714285,39.0,12.0,0.6283501850356883
BU07620113,Bedrijventerrein Leemskuilen,Deurne,160,0.21875,31.0,21.0,0.6279660661332738
BU07531901,Aarlesche Erven,Best,1010,0.0891089108910891,5.0,2.0,0.6271782815275877
BU08580000,Centrum,Valkenswaard,3800,0.425,78.0,45.0,0.6266301124601354
BU07726260,Wielewaal,Eindhoven,105,0.1428571428571428,17.0,9.0,0.6265576168362494
BU16590101,Bedrijventerrein Torenakker,Laarbeek,55,0.1818181818181818,24.0,17.0,0.6260283413783106
BU16520709,Verspreide huizen Milheeze,Gemert-Bakel,580,0.1637931034482758,22.0,12.0,0.625647046112707
BU08230002,De Notel,Oirschot,3750,0.2573333333333333,42.0,25.0,0.6251036460956004
BU07531101,Breeven,Best,80,0.0625,0.0,0.0,0.625
BU07942104,Kranenbroek,Helmond,115,0.2608695652173913,42.0,27.0,0.6248787945869285
BU17280209,Verspreide huizen Hapert,Bladel,435,0.1954022988505747,30.0,16.0,0.6240905340425519
BU07941404,Brouwhorst,Helmond,250,0.44,82.0,49.0,0.623890673082303
BU07620200,Heiakker-Oost,Deurne,2185,0.1556064073226544,21.0,12.0,0.6237375553757691
BU17240403,Aarperstraat-Lange Akkers,Bergeijk,275,0.2909090909090909,57.0,19.0,0.6229741662131301
BU07726280,Mispelhoef,Eindhoven,25,0.2,34.0,13.0,0.6229278800425223
BU17280109,Verspreide huizen Netersel,Bladel,110,0.1363636363636363,15.0,14.0,0.6225922290097303
BU17240301,Dorpsplein e.o.,Bergeijk,55,0.2727272727272727,52.0,19.0,0.6225273775069556
BU07700100,Duizel,Eersel,1580,0.240506329113924,45.0,15.0,0.6224740025793803
