buurtcode,buurtnaam,gemeente,a_inw,elderly_share,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities,elderly_amenity_priority_score
BU07723370,Koudenhoven,Eindhoven,535,0.2616822429906542,77.0,38.0,0.5684059022877405
BU17060509,Verspreide huizen Gastelse Hei,Cranendonck,5,0.0,19.0,10.0,0.5658647121356236
BU08480009,Verspreide huizen Son,Son en Breugel,2330,0.0515021459227467,30.0,17.0,0.5657108007402731
BU08580007,Industrieterrein Schaapsloop,Valkenswaard,135,0.1481481481481481,48.0,36.0,0.56422205229904
BU07430504,Hulterman,Asten,510,0.1862745098039215,68.0,24.0,0.5620049082689081
BU07941409,Kloostereind,Helmond,125,0.16,57.0,30.0,0.5615941364068707
BU07725230,Achtse Barrier-Spaaihoef,Eindhoven,4520,0.2112831858407079,72.0,31.0,0.5608099229123477
BU07727330,Ooievaarsnest,Eindhoven,880,0.3125,88.0,54.0,0.5606011861467017
BU07942101,De Veste,Helmond,3015,0.1442786069651741,51.0,34.0,0.5602180169482137
BU07725240,Achtse Barrier-Hoeven,Eindhoven,3885,0.2239382239382239,77.0,30.0,0.5598656717159487
BU07430701,Verspreide huizen Asten west,Asten,365,0.1506849315068493,60.0,23.0,0.5595102507877114
BU08580006,Het Gegraaf,Valkenswaard,2640,0.231060606060606,74.0,39.0,0.5594331385245055
BU08580001,Geenhoven,Valkenswaard,3560,0.2612359550561798,80.0,45.0,0.5583941190559861
BU07620111,Bedrijventerrein De Bottel,Deurne,5,0.0,21.0,16.0,0.5582163039221172
BU17240005,Dokter A.Hoynck van Papendrechtstraat-Dokter Duchateaustraat,Bergeijk,740,0.2162162162162162,73.0,36.0,0.5573195866935027
BU17280002,Bladel Bedrijventerrein De Beemd en Leemskuilen,Bladel,170,0.088235294117647,41.0,27.0,0.5571902738603415
BU07941402,Brouwhuis-Oost,Helmond,2535,0.1814595660749507,63.0,36.0,0.5570688037701023
BU16520107,Verspreide huizen Kampen-Esdonk,Gemert-Bakel,985,0.1116751269035533,48.0,28.0,0.5561902208503824
BU07430401,Paddenstoelenbuurt,Asten,495,0.1616161616161616,67.0,21.0,0.5559657731005574
BU08580106,Oud-Dommelen & Lage Heide,Valkenswaard,2335,0.1734475374732334,67.0,29.0,0.554140946394206
BU17710007,Genoenhuis,Geldrop-Mierlo,3360,0.1741071428571428,67.0,31.0,0.5527654442854746
BU08610207,Verspreide huizen Zittard,Veldhoven,1965,0.089058524173028,43.0,30.0,0.55233017406243
BU08610000,Veldhoven,Veldhoven,5480,0.2025547445255474,66.0,48.0,0.5515752464366387
BU07430101,Hoogveld,Asten,140,0.1785714285714285,74.0,23.0,0.5515522216271951
BU17240017,Industrieterrein ' 't Stoom ',Bergeijk,135,0.1851851851851851,71.0,34.0,0.5492768939700065
BU17710004,Braakhuizen-Noord,Geldrop-Mierlo,4545,0.1749174917491749,68.0,34.0,0.5492653797355341
BU17240016,Eikenberg-Hooge Berkt,Bergeijk,245,0.1836734693877551,71.0,34.0,0.5486722076510344
BU07430702,Hazeldonk,Asten,125,0.16,69.0,26.0,0.5484905723717339
BU07941400,Brouwhuis-Dorp,Helmond,3530,0.1628895184135977,63.0,38.0,0.548001440443266
BU07725440,Heesterakker,Eindhoven,2660,0.2236842105263158,80.0,40.0,0.5474717818997783
BU17710001,Skandia,Geldrop-Mierlo,3130,0.1853035143769968,72.0,35.0,0.5471393658022731
BU08580005,Kerkakkers,Valkenswaard,2435,0.2320328542094455,80.0,45.0,0.5467128787172925
BU17240014,Beistervelden,Bergeijk,895,0.1787709497206704,71.0,34.0,0.5467111997842006
BU07725420,Luytelaer,Eindhoven,1010,0.3613861386138614,112.0,55.0,0.5465714643416448
BU08480002,Industrieterrein Ekkersrijt,Son en Breugel,100,0.05,42.0,22.0,0.5446293291557098
BU08610003,D'Ekker,Veldhoven,4140,0.321256038647343,103.0,53.0,0.5444454580371278
BU07726340,Zandrijk,Eindhoven,2805,0.1746880570409982,72.0,34.0,0.5437128549990211
BU16520104,Doonheide,Gemert-Bakel,1240,0.0766129032258064,47.0,28.0,0.5435305190925942
BU17240502,Van den Tillaartstraat e.o.,Bergeijk,380,0.1710526315789473,73.0,34.0,0.5408934971008902
BU07942103,Stepekolk,Helmond,4000,0.07625,46.0,33.0,0.5406521848598445
BU07430404,Kruidenbuurt,Asten,765,0.1503267973856209,72.0,26.0,0.5405257281860505
BU17280208,Hapert Kempisch Bedrijvenpark,Bladel,0,,34.0,16.0,0.5404688636490796
BU07620114,Bedrijventerrein Rijt-West en Rijt-Oost,Deurne,10,0.0,31.0,21.0,0.5404660661332736
BU17240015,De Kabouterberg e.o.,Bergeijk,250,0.16,71.0,34.0,0.5392028198959324
BU17240009,Bucht e.o.,Bergeijk,270,0.2037037037037037,81.0,40.0,0.5381143914574229
BU07941302,Akkers,Helmond,3615,0.1645919778699861,70.0,40.0,0.5374867659703523
BU07725330,Blixembosch-West,Eindhoven,1995,0.2431077694235588,94.0,44.0,0.5328498889477372
BU07725350,Castiliëlaan,Eindhoven,820,0.0365853658536585,51.0,16.0,0.5318948188642632
BU17240211,Industrieterrein 'Zoeferbeemd',Bergeijk,5,0.0,43.0,12.0,0.5314608627538746
BU07724360,Eckartdal,Eindhoven,330,0.3181818181818182,113.0,52.0,0.5303835648489597
BU07942100,Brand,Helmond,1425,0.0666666666666666,51.0,34.0,0.5291732408288107
BU07430301,Appelbuurt,Asten,455,0.1208791208791208,74.0,23.0,0.5284752985502721
BU17240209,Industrieterrein 'Loonsebaan',Bergeijk,20,0.0,45.0,15.0,0.5262714709338108
BU07723330,"Muschberg, Geestenberg",Eindhoven,4010,0.1820448877805486,77.0,51.0,0.5258952224987802
BU07723360,Karpen,Eindhoven,455,0.2967032967032967,108.0,56.0,0.5253394062995138
BU07726370,Flight Forum,Eindhoven,60,0.0,45.0,18.0,0.5238124545403682
BU07941609,Overbrug,Helmond,135,0.2592592592592592,98.0,57.0,0.523193996323857
BU07941809,Berkendonk,Helmond,65,0.1538461538461538,78.0,43.0,0.5198079182608921
BU17240010,Schutsboom e.o.,Bergeijk,695,0.1726618705035971,88.0,40.0,0.5161413441842062
BU07941202,Eeuwsels,Helmond,3875,0.192258064516129,85.0,55.0,0.5157803029619376
BU07726399,Meerrijk,Eindhoven,1300,0.1923076923076923,93.0,42.0,0.5155343900769963
BU08610103,De Polders,Veldhoven,2665,0.2645403377110694,107.0,55.0,0.5146590825470809
BU07941801,Rijpelberg-Oost,Helmond,3280,0.1768292682926829,89.0,48.0,0.5098857385373495
BU07430403,Vlinderbuurt,Asten,205,0.024390243902439,62.0,20.0,0.5087210167127688
BU07430405,Loverbosch,Asten,715,0.0419580419580419,67.0,21.0,0.5081025252373096
BU07725220,Achtse Barrier-Gunterslaer,Eindhoven,3770,0.2055702917771883,100.0,47.0,0.5071847552158829
BU07942901,Hoogeind,Helmond,290,0.2758620689655172,105.0,73.0,0.5071640521148255
BU17240501,Loo,Bergeijk,505,0.1485148514851485,87.0,41.0,0.5070280521589898
BU07941401,Brouwhuis-West,Helmond,2700,0.1425925925925926,82.0,49.0,0.50492771011934
BU07724330,Hondsheuvels,Eindhoven,415,0.5903614457831325,175.0,118.0,0.5005154170084917
BU08200008,"Verspreide huizen Boord, Opwetten","Nuenen, Gerwen en Nederwetten",1445,0.0657439446366782,77.0,27.0,0.49904697638877304
BU07723350,'t Hofke,Eindhoven,3755,0.2010652463382157,99.0,57.0,0.498551203442129
BU07726270,Herdgang,Eindhoven,10,0.0,51.0,39.0,0.49840821350640635
BU07941309,Groot Goor,Helmond,50,0.2,96.0,65.0,0.49566329099759415
BU07942102,Schutsboom,Helmond,3330,0.1021021021021021,80.0,44.0,0.49556025000550263
BU07727320,Hanevoet,Eindhoven,3665,0.223738062755798,104.0,64.0,0.4950566865245763
BU07430103,Florapark,Asten,0,,65.0,20.0,0.49486935601186155
BU08610101,Heikant-Oost,Veldhoven,2530,0.2391304347826087,113.0,57.0,0.49466465083353806
BU07722380,Schuttersbosch,Eindhoven,710,0.2957746478873239,112.0,90.0,0.4916383434608659
BU08610001,Meerveldhoven,Veldhoven,2545,0.2612966601178781,123.0,58.0,0.4890595917033925
BU17240504,Langveld e.o.,Bergeijk,365,0.0273972602739726,71.0,31.0,0.4886207403989641
BU07722350,Gijzenrooi,Eindhoven,1745,0.2607449856733524,107.0,85.0,0.48855077779756795
BU08610100,Heikant-West,Veldhoven,3725,0.2053691275167785,108.0,58.0,0.48716639436261144
BU07726390,Bosrijk,Eindhoven,725,0.0620689655172413,76.0,42.0,0.48664709048709576
BU08610005,'t Look,Veldhoven,2785,0.2280071813285457,113.0,62.0,0.48611698879617526
BU07941201,Binderen,Helmond,4425,0.2576271186440678,111.0,81.0,0.4851215686572019
BU08610004,Zonderwijk,Veldhoven,3495,0.2145922746781116,110.0,66.0,0.48156790075134315
BU07725430,Vaartbroek,Eindhoven,5400,0.1648148148148148,104.0,52.0,0.48132345292195355
BU08580008,Den Dries,Valkenswaard,20,0.0,66.0,36.0,0.4803894142001902
BU07430102,Nobis,Asten,55,0.0,74.0,23.0,0.4801236501986237
BU08610006,Cobbeek en Centrum,Veldhoven,4035,0.2379182156133829,121.0,61.0,0.479979572934773
BU07941900,Kern Dierdonk,Helmond,4715,0.144220572640509,96.0,58.0,0.4790892249718305
BU07726360,Park Forum,Eindhoven,25,0.0,73.0,26.0,0.4790298215184916
BU07941701,Schooten,Helmond,270,0.1851851851851851,102.0,69.0,0.47826755026721446
BU07725110,Driehoeksbos,Eindhoven,940,0.3723404255319149,152.0,80.0,0.4758538672977545
BU07941303,Gansenwinkel,Helmond,1350,0.2185185185185185,108.0,79.0,0.47521303600920906
BU17240503,Industrieterrein 'Waterlaat',Bergeijk,25,0.0,71.0,34.0,0.4752028198959324
BU07941501,Houtsdonk,Helmond,745,0.2751677852348993,126.0,77.0,0.47493870811846595
BU07722240,Roosten,Eindhoven,800,0.1875,100.0,79.0,0.4737271303082863
BU08610102,De Kelen,Veldhoven,3925,0.1592356687898089,109.0,52.0,0.47226585594539816
BU08610209,Verspreide huizen Scherpenering en Landsaard,Veldhoven,1105,0.0814479638009049,93.0,42.0,0.4711904986742813
BU07725340,Blixembosch-Oost,Eindhoven,7685,0.1223162003903708,100.0,53.0,0.46896508587427066
BU07723280,Tongelresche Akkers,Eindhoven,2370,0.0696202531645569,87.0,53.0,0.4656341472569827
BU07941200,Bloemvelden,Helmond,3990,0.175438596491228,107.0,72.0,0.46508395982963624
BU07941601,Zwanenbeemd,Helmond,1550,0.2709677419354839,132.0,78.0,0.4642478923876887
BU07727270,Beemden,Eindhoven,0,,70.0,50.0,0.4634532535108824
BU07724260,Vredeoord,Eindhoven,450,0.1333333333333333,105.0,61.0,0.45998862343572244
BU07723220,Doornakkers-Oost,Eindhoven,2930,0.189419795221843,108.0,84.0,0.4594751860348012
BU07941300,'t Hout-Centrum,Helmond,3680,0.2377717391304347,125.0,80.0,0.45888646099654806
BU07941301,Kroon,Helmond,2475,0.1979797979797979,117.0,75.0,0.4579895468985158
BU07726350,Waterrijk,Eindhoven,2530,0.025691699604743,89.0,39.0,0.45680776024250147
BU07725320,Tempel,Eindhoven,5150,0.2300970873786407,133.0,66.0,0.45637050842541144
BU07941802,Rijpelberg-West,Helmond,4805,0.1529656607700312,112.0,67.0,0.4533672076303422
BU08610002,Zeelst,Veldhoven,5330,0.2973733583489681,150.0,75.0,0.4526957765069347
BU07727250,"Bennekel-West, Gagelbosch",Eindhoven,3375,0.2577777777777778,130.0,90.0,0.451866216577457
BU07941000,Centrum,Helmond,3345,0.3168908819133034,144.0,101.0,0.4473824368026962
BU07941600,Oranjebuurt,Helmond,1375,0.28,141.0,93.0,0.4432790242264869
BU07941007,Steenweg en omgeving,Helmond,1205,0.3526970954356846,156.0,106.0,0.44122430899618403
BU07727310,Genderbeemd,Eindhoven,3565,0.2187938288920056,132.0,81.0,0.44091931077685487
BU07941004,Stationsgebied,Helmond,1165,0.2618025751072961,139.0,96.0,0.43627141330258384
BU07726330,Grasrijk,Eindhoven,6115,0.0948487326246933,115.0,58.0,0.4334019224126032
BU07722340,Tivoli,Eindhoven,1505,0.1860465116279069,121.0,100.0,0.42726367822582845
BU07724350,Oude Gracht-Oost,Eindhoven,1335,0.2434456928838951,151.0,80.0,0.4256611619518572
BU07725410,Eckart,Eindhoven,4355,0.2020665901262916,146.0,75.0,0.42003382007110646
BU07941006,Annabuurt en Suytkade,Helmond,2005,0.1620947630922693,132.0,84.0,0.41578066806351766
BU07726230,Lievendaal,Eindhoven,3175,0.1574803149606299,127.0,96.0,0.41092476180364435
BU07725310,Woenselse Heide,Eindhoven,5255,0.1941008563273073,156.0,80.0,0.39909728876266914
BU07941102,Straakven,Helmond,2975,0.1831932773109243,141.0,100.0,0.3988186302328238
BU07941500,West,Helmond,3985,0.1555834378920953,139.0,92.0,0.3970624469410937
BU07941101,Beisterveldse Broek,Helmond,2475,0.1777777777777777,150.0,96.0,0.3876444295243601
BU07941002,Leonardus,Helmond,2395,0.1377870563674321,143.0,91.0,0.3853028156091337
BU07722250,Eikenburg,Eindhoven,1505,0.2259136212624584,151.0,121.0,0.38504177592623334
BU07725140,'t Hool,Eindhoven,2275,0.156043956043956,154.0,83.0,0.3841458876825071
BU07941003,Heipoort,Helmond,4055,0.1307028360049321,142.0,91.0,0.3838343151774442
BU07725160,Vlokhoven,Eindhoven,3645,0.2085048010973937,170.0,84.0,0.3824675501597654
BU07726210,Hurk,Eindhoven,50,0.1,130.0,99.0,0.38137805628601806
BU07722300,Puttense Dreef,Eindhoven,1270,0.1417322834645669,139.0,105.0,0.38086624746516434
BU07722370,Kruidenbuurt,Eindhoven,3355,0.0998509687034277,124.0,119.0,0.3731161274243017
BU07722310,Poeijers,Eindhoven,0,,112.0,97.0,0.3675907793879036
BU07723210,Doornakkers-West,Eindhoven,3480,0.1422413793103448,144.0,121.0,0.36112919313856195
BU07725120,Prinsejagt,Eindhoven,4700,0.226595744680851,178.0,106.0,0.3607496390014178
BU07725130,Jagershoef,Eindhoven,3590,0.1977715877437326,177.0,98.0,0.3571425409890614
BU07727210,Genderdal,Eindhoven,2925,0.1743589743589743,153.0,128.0,0.3559518368201857
BU07941100,Beisterveld,Helmond,2455,0.1914460285132382,172.0,106.0,0.3548808788142362
BU07722230,Genneperzijde,Eindhoven,1345,0.4423791821561338,203.0,177.0,0.354736599847291
BU07941005,Vossenberg,Helmond,3285,0.1171993911719939,158.0,95.0,0.3533112453067095
BU07726240,Drents Dorp,Eindhoven,2660,0.1203007518796992,146.0,122.0,0.348802894608535
BU07722320,Burghplan,Eindhoven,2975,0.1277310924369747,147.0,130.0,0.34385246606895425
BU07724310,Generalenbuurt,Eindhoven,5545,0.1830477908025247,177.0,111.0,0.34059728450766014
BU07724340,Oude Gracht-West,Eindhoven,2890,0.185121107266436,187.0,115.0,0.32449604543552873
BU07726220,Het Ven,Eindhoven,3910,0.1419437340153452,166.0,139.0,0.3162219069670736
BU07727260,Gennep,Eindhoven,40,0.125,168.0,129.0,0.31491075924578976
BU07726250,Zwaanstraat,Eindhoven,1350,0.0481481481481481,151.0,122.0,0.3131159145493616
BU07722360,Nieuwe Erven,Eindhoven,1170,0.1452991452991453,165.0,147.0,0.3123718821447239
BU07725150,Winkelcentrum,Eindhoven,680,0.1838235294117647,199.0,110.0,0.31169312238967095
BU07727220,Blaarthem,Eindhoven,2505,0.1437125748502994,171.0,145.0,0.3051854719476171
BU07722180,Elzent-Zuid,Eindhoven,270,0.3888888888888889,217.0,189.0,0.3043917889802744
BU07726130,Engelsbergen,Eindhoven,635,0.2440944881889764,188.0,167.0,0.3040972592715621
BU07724320,Oude Toren,Eindhoven,1705,0.3020527859237537,205.0,168.0,0.3032527151080457
BU07722210,Kerstroosplein,Eindhoven,1880,0.1117021276595744,163.0,146.0,0.3024831226466642
BU07727240,Bennekel-Oost,Eindhoven,3315,0.1372549019607843,174.0,144.0,0.29932651178302694
BU07722330,Sintenbuurt,Eindhoven,1970,0.1218274111675127,168.0,151.0,0.29560893682754896
BU07724240,Mensfort,Eindhoven,3240,0.1697530864197531,194.0,141.0,0.2874810476938454
BU07722220,Gerardusplein,Eindhoven,3370,0.129080118694362,175.0,153.0,0.28731436158281953
BU07724230,Barrier,Eindhoven,2040,0.159313725490196,193.0,139.0,0.2863098352976282
BU07724220,Kronehoef,Eindhoven,4675,0.2556149732620321,207.0,165.0,0.2844062310101785
BU07722140,Tuindorp,Eindhoven,2875,0.24,197.0,176.0,0.2827957253958485
BU07722260,Sportpark Aalsterweg,Eindhoven,35,0.0,155.0,129.0,0.2826581995188273
BU07727130,Hagenkamp,Eindhoven,1225,0.3306122448979592,220.0,188.0,0.27780524037511833
BU07726150,Schoot,Eindhoven,3585,0.1129707112970711,188.0,165.0,0.2532870927770951
BU07726140,Schouwbroek,Eindhoven,1520,0.1480263157894736,198.0,171.0,0.24873942465406507
BU07722170,Looiakkers,Eindhoven,685,0.1678832116788321,202.0,184.0,0.2405656944516481
BU07726160,Strijp S,Eindhoven,3110,0.0209003215434083,183.0,150.0,0.23557995740939602
BU07722120,Rochusbuurt,Eindhoven,1835,0.0790190735694822,186.0,176.0,0.23342041967005775
BU07724250,Rapenland,Eindhoven,2375,0.1178947368421052,211.0,155.0,0.23205410690044082
BU07722160,Bloemenplein,Eindhoven,1235,0.117408906882591,198.0,179.0,0.2299350840421317
BU07723120,Lakerlopen,Eindhoven,3220,0.1350931677018633,207.0,185.0,0.21980406616316017
BU07721150,TU-terrein,Eindhoven,2225,0.0067415730337078,205.0,145.0,0.20398068896842075
BU07724210,Woensel-West,Eindhoven,5895,0.0585241730279898,211.0,165.0,0.20010916006331922
BU07722150,Joriskwartier,Eindhoven,1340,0.1082089552238805,215.0,190.0,0.19403051880974467
BU07727230,Rapelenburg,Eindhoven,1240,0.1169354838709677,221.0,188.0,0.19096934825101117
BU07726120,Philipsdorp,Eindhoven,3665,0.1064120054570259,215.0,203.0,0.18265600119808478
BU07723110,Villapark,Eindhoven,2475,0.1616161616161616,234.0,200.0,0.1812581135022807
BU07724130,Gildebuurt,Eindhoven,1680,0.1636904761904762,244.0,191.0,0.17581301137922858
BU07727110,Schrijversbuurt,Eindhoven,3520,0.1832386363636363,236.0,218.0,0.17242262961399368
BU07722110,Irisbuurt,Eindhoven,2880,0.0989583333333333,220.0,204.0,0.17202892165090733
BU07722130,Elzent-Noord,Eindhoven,1170,0.1752136752136752,241.0,213.0,0.166485067243194
BU07724100,Limbeek-Zuid,Eindhoven,1585,0.1577287066246056,241.0,212.0,0.16031075193871375
BU07724110,Limbeek-Noord,Eindhoven,2860,0.0559440559440559,235.0,180.0,0.15401752614307862
BU07724140,Woenselse Watermolen,Eindhoven,1655,0.0996978851963746,242.0,202.0,0.14392995696558616
BU07724120,Hemelrijken,Eindhoven,4100,0.0939024390243902,245.0,199.0,0.1399752317503033
BU07726110,"Eliasterrein, Vonderkwartier",Eindhoven,3330,0.1411411411411411,248.0,220.0,0.1375620347029735
BU07727120,Oude Spoorbaan,Eindhoven,2175,0.1149425287356321,249.0,228.0,0.11916002497827903
BU07721140,Fellenoord,Eindhoven,190,0.0,241.0,209.0,0.0996782856823141
BU07721130,Witte Dame,Eindhoven,2250,0.0933333333333333,269.0,234.0,0.07829455976426267
BU07721120,Bergen,Eindhoven,2800,0.0928571428571428,268.0,243.0,0.07209222210676919
BU07721110,Binnenstad,Eindhoven,4000,0.09125,293.0,244.0,0.0365
