Wogem_DANS24,life_stage,n_trips_unweighted,weighted_trips,cycling_share,car_share,utilitarian_trip_share,leisure_social_trip_share,avg_dist_km,gemeente,n_buurten,population,pop_weighted_total_access,pop_weighted_utilitarian_access,pop_weighted_leisure_social_access,share_high_density,share_vinex_like,elderly_share,family_hh_share,dominant_type,municipality_name
743,Child/Teen (<18),10,9.761663682873218,0.26113634134877134,0.1498743748330352,0.3295285082899084,0.6704714917100916,,Asten,28.0,17405.0,82.54294742889974,61.16403332375754,21.3789141051422,0.0,0.25,0.2410226946279804,0.3587697662203636,Mixed gemeente,Asten
743,Family w/ Kids,14,15.856320232499957,0.33136238799258666,0.35306152295211907,0.5754353696992787,0.31557608905529416,,Asten,28.0,17405.0,82.54294742889974,61.16403332375754,21.3789141051422,0.0,0.25,0.2410226946279804,0.3587697662203636,Mixed gemeente,Asten
743,Mid-life No Kids (30-54),14,16.134377502807723,0.2365072602164485,0.6146369482590979,0.32054204705931694,0.6794579529406831,,Asten,28.0,17405.0,82.54294742889974,61.16403332375754,21.3789141051422,0.0,0.25,0.2410226946279804,0.3587697662203636,Mixed gemeente,Asten
743,Older Adult (55-69),28,27.79638528358149,0.06446161647469857,0.907904596665111,0.6016955895433498,0.3196443988423724,,Asten,28.0,17405.0,82.54294742889974,61.16403332375754,21.3789141051422,0.0,0.25,0.2410226946279804,0.3587697662203636,Mixed gemeente,Asten
743,Senior (70+),32,28.90395999606875,0.6605470980562343,0.0,0.49173185856878565,0.4891793814668463,,Asten,28.0,17405.0,82.54294742889974,61.16403332375754,21.3789141051422,0.0,0.25,0.2410226946279804,0.3587697662203636,Mixed gemeente,Asten
743,Young Adult (18-29),21,26.267185830864697,0.32726781475762373,0.6027069100665574,0.5939531223246249,0.40604687767537495,,Asten,28.0,17405.0,82.54294742889974,61.16403332375754,21.3789141051422,0.0,0.25,0.2410226946279804,0.3587697662203636,Mixed gemeente,Asten
744,Child/Teen (<18),1,0.5947193934231433,1.0,0.0,0.0,1.0,1.9838888888888888,Baarle-Nassau,10.0,7200.0,43.29236111111111,23.711111111111112,19.58125,0.0,0.3,0.2791666666666667,0.3174496141629762,Mixed gemeente,Baarle-Nassau
744,Family w/ Kids,8,6.764382250695969,0.44024282528388986,0.27987858735805504,0.7201214126419448,0.27987858735805504,1.9838888888888888,Baarle-Nassau,10.0,7200.0,43.29236111111111,23.711111111111112,19.58125,0.0,0.3,0.2791666666666667,0.3174496141629762,Mixed gemeente,Baarle-Nassau
744,Older Adult (55-69),9,9.628065144587103,0.3097150497773625,0.3515923184722657,0.5668808043233234,0.43311919567667645,1.983888888888889,Baarle-Nassau,10.0,7200.0,43.29236111111111,23.711111111111112,19.58125,0.0,0.3,0.2791666666666667,0.3174496141629762,Mixed gemeente,Baarle-Nassau
744,Young Adult (18-29),13,13.464519358359178,0.21275411670751654,0.7872458832924834,0.7790703874703279,0.0,1.9838888888888886,Baarle-Nassau,10.0,7200.0,43.29236111111111,23.711111111111112,19.58125,0.0,0.3,0.2791666666666667,0.3174496141629762,Mixed gemeente,Baarle-Nassau
